Date	Daily Profit and Loss	Cumulative Profit and Loss	Cumulative Profit and Loss 
2022-10-16	0.59	-451.28	-0.0699 
2022-10-15	-0.59	-451.89	-0.07 
2022-10-14	22.63	-451.28	-0.0699 
2022-10-13	25.4	-473.9	-0.0734 
2022-10-12	0.59	-499.32	-0.0773 
2022-10-11	0	-499.91	-0.0774 
2022-10-10	-1.19	-499.91	-0.0774 
2022-10-09	0.59	-498.73	-0.0772 
2022-10-08	-0.59	-499.32	-0.0773 
2022-10-07	0	-498.71	-0.0772 
2022-10-06	-0.59	-498.71	-0.0772 
2022-10-05	-0.59	-498.11	-0.0771 
2022-10-04	1.19	-497.5	-0.0771 
2022-10-03	0	-498.71	-0.0772 
2022-10-02	0.58	-498.73	-0.0772 
2022-10-01	-0.59	-499.32	-0.0773 
2022-09-30	-21.01	-498.73	-0.0772 
2022-09-29	25.43	-477.7	-0.074 
2022-09-28	-1.06	-503.15	-0.0779 
2022-09-27	41.29	-502.07	-0.0778 
2022-09-26	7.4	-543.38	-0.0842 
2022-09-25	0.58	-550.8	-0.0853 
2022-09-24	0.58	-551.38	-0.0854 
2022-09-23	0	-551.97	-0.0855 
2022-09-22	-1.15	-551.97	-0.0855 
2022-09-21	-28.64	-550.8	-0.0853 
2022-09-20	0	-522.14	-0.0809 
2022-09-19	0.59	-522.13	-0.0809 
2022-09-18	-0.59	-522.74	-0.081 
2022-09-17	1.19	-522.13	-0.0809 
2022-09-16	0	-523.31	-0.0811 
2022-09-15	-1.19	-523.31	-0.0811 
2022-09-14	1.17	-522.13	-0.0809 
2022-09-13	-1.22	-523.31	-0.081 
2022-09-12	0.07	-522.07	-0.0809 
2022-09-11	7.51	-522.16	-0.0809 
2022-09-10	17.69	-529.67	-0.082 
2022-09-09	102.67	-547.36	-0.0848 
2022-09-08	0	-650.05	-0.1007 
2022-09-07	0	-650.05	-0.1007 
2022-09-06	-0.02	-650.05	-0.1007 
2022-09-05	-0.58	-650.03	-0.1007 
2022-09-04	0.58	-649.46	-0.1006 
2022-09-03	-0.58	-650.03	-0.1007 
2022-09-02	1.15	-649.46	-0.1006 
2022-09-01	0	-650.61	-0.1008 
2022-08-31	-0.56	-650.61	-0.1008 
2022-08-30	0	-650.03	-0.1007 
2022-08-29	0.59	-650.03	-0.1007 
2022-08-28	0	-650.63	-0.1008 
2022-08-27	-0.58	-650.61	-0.1008 
2022-08-26	-35.05	-650.03	-0.1007 
2022-08-25	0	-614.99	-0.0952 
2022-08-24	0	-614.99	-0.0952 
2022-08-23	1.17	-614.99	-0.0952 
2022-08-22	-1.17	-616.16	-0.0954 
2022-08-21	0	-614.99	-0.0952 
2022-08-20	0	-614.99	-0.0952 
2022-08-19	-0.04	-614.99	-0.0952 
2022-08-18	0	-614.95	-0.0952 
2022-08-17	9.52	-614.95	-0.0952 
2022-08-16	-11.72	-624.47	-0.0967 
2022-08-15	-10.21	-612.74	-0.0949 
2022-08-14	-8.26	-602.53	-0.0933 
2022-08-13	1.37	-594.27	-0.092 
2022-08-12	22.61	-595.64	-0.0923 
2022-08-11	0.92	-618.26	-0.0958 
2022-08-10	18.97	-619.2	-0.0959 
2022-08-09	0	-638.19	-0.0988 
2022-08-08	0	-638.17	-0.0988 
2022-08-07	0.58	-638.17	-0.0988 
2022-08-06	0	-638.77	-0.0989 
2022-08-05	0	-638.77	-0.0989 
2022-08-04	-13.77	-638.77	-0.0989 
2022-08-03	-6.61	-625	-0.0968 
2022-08-02	-3.58	-618.37	-0.0958 
2022-08-01	-0.58	-614.79	-0.0952 
2022-07-31	-17.55	-614.2	-0.0951 
2022-07-30	0.36	-596.65	-0.0924 
2022-07-29	-2.59	-597.01	-0.0925 
2022-07-28	46.12	-594.41	-0.0921 
2022-07-27	56.99	-640.55	-0.0992 
2022-07-26	-0.58	-697.54	-0.108 
2022-07-25	-42.12	-696.96	-0.1079 
2022-07-24	0	-654.84	-0.1014 
2022-07-23	0	-654.84	-0.1014 
2022-07-22	-21.35	-654.84	-0.1014 
2022-07-21	-4.1	-633.49	-0.0981 
2022-07-20	-32.54	-629.39	-0.0975 
2022-07-19	54.83	-596.83	-0.0924 
2022-07-18	96.64	-651.65	-0.1009 
2022-07-17	-25.24	-748.31	-0.1159 
2022-07-16	22.46	-723.06	-0.112 
2022-07-15	16.36	-745.54	-0.1155 
2022-07-14	19.73	-761.9	-0.118 
2022-07-13	26.1	-781.65	-0.1211 
2022-07-12	-38.14	-807.75	-0.1251 
2022-07-11	-52.67	-769.59	-0.1192 
2022-07-10	-43.36	-716.9	-0.111 
2022-07-09	0.61	-673.54	-0.1043 
2022-07-08	-3.76	-674.15	-0.1044 
2022-07-07	65.77	-670.39	-0.1038 
2022-07-06	21.15	-736.16	-0.114 
2022-07-05	-0.77	-757.31	-0.1173 
2022-07-04	52.45	-756.54	-0.1172 
2022-07-03	4.48	-808.99	-0.1253 
2022-07-02	-0.67	-813.49	-0.126 
2022-07-01	-35.48	-812.81	-0.1259 
2022-06-30	-0.81	-777.31	-0.1204 
2022-06-29	-0.13	-776.5	-0.1203 
2022-06-28	-1.51	-776.36	-0.1202 
2022-06-27	-2.54	-774.85	-0.12 
2022-06-26	-0.94	-772.29	-0.1196 
2022-06-25	1.37	-771.35	-0.1195 
2022-06-24	0.67	-772.72	-0.1197 
2022-06-23	2.11	-773.39	-0.1198 
2022-06-22	-0.65	-775.49	-0.1201 
2022-06-21	1.26	-774.85	-0.12 
2022-06-20	0	-776.11	-0.1202 
2022-06-19	3.04	-776.11	-0.1202 
2022-06-18	-45.05	-779.17	-0.1207 
2022-06-17	4.45	-734.09	-0.1137 
2022-06-16	-95.94	-738.54	-0.1144 
2022-06-15	16.16	-642.6	-0.0995 
2022-06-14	-9.29	-658.76	-0.102 
2022-06-13	-184.14	-649.48	-0.1006 
2022-06-12	-55.67	-465.32	-0.0721 
2022-06-11	-0.61	-409.63	-0.0634 
2022-06-10	-48.96	-409.01	-0.0633 
2022-06-09	-3.83	-360.05	-0.0558 
2022-06-08	-37.82	-356.22	-0.0552 
2022-06-07	-35.73	-318.38	-0.0493 
2022-06-06	0.02	-282.65	-0.0438 
2022-06-05	-0.61	-282.69	-0.0438 
2022-06-04	1.84	-282.08	-0.0437 
2022-06-03	-1.85	-283.93	-0.044 
2022-06-02	0.63	-282.06	-0.0437 
2022-06-01	-75.87	-282.69	-0.0438 
2022-05-31	1.76	-206.8	-0.032 
2022-05-30	71.41	-208.57	-0.0323 
2022-05-29	0	-279.97	-0.0434 
2022-05-28	1.22	-279.99	-0.0434 
2022-05-27	-1.22	-281.21	-0.0436 
2022-05-26	-53.8	-279.99	-0.0434 
2022-05-25	-4.16	-226.19	-0.035 
2022-05-24	22.66	-222.01	-0.0344 
2022-05-23	-47.95	-244.67	-0.0379 
2022-05-22	34.72	-196.7	-0.0305 
2022-05-21	10.71	-231.44	-0.0358 
2022-05-20	-46.48	-242.15	-0.0375 
2022-05-19	68.42	-195.66	-0.0303 
2022-05-18	-73.21	-264.1	-0.0409 
2022-05-17	25.25	-190.89	-0.0296 
2022-05-16	-59.92	-216.14	-0.0335 
2022-05-15	51.25	-156.2	-0.0242 
2022-05-14	33.71	-207.47	-0.0321 
2022-05-13	16.97	-241.2	-0.0374 
2022-05-12	14.49	-258.17	-0.04 
2022-05-11	-129.04	-272.66	-0.0422 
2022-05-10	0	-143.6	-0.0222 
2022-05-09	-0.05	-143.62	-0.0222 
2022-05-08	-0.02	-143.57	-0.0222 
2022-05-07	0	-143.55	-0.0222 
2022-05-06	-1.26	-143.55	-0.0222 
2022-05-05	0.58	-142.27	-0.022 
2022-05-04	0.02	-142.87	-0.0221 
2022-05-03	0	-142.88	-0.0221 
2022-05-02	-1.89	-142.88	-0.0221 
2022-05-01	0	-140.98	-0.0218 
2022-04-30	1.24	-140.99	-0.0218 
2022-04-29	-40.27	-142.24	-0.022 
2022-04-28	16.18	-101.97	-0.0158 
2022-04-27	35.77	-118.15	-0.0183 
2022-04-26	-74.41	-153.94	-0.0238 
2022-04-25	-15.71	-79.51	-0.0123 
2022-04-24	1.15	-63.79	-0.0099 
2022-04-23	-7.24	-64.94	-0.0101 
2022-04-22	-25.92	-57.71	-0.0089 
2022-04-21	-27.97	-31.77	-0.0049 
2022-04-20	-3.78	-3.78	-0.0006 
