Date	Daily Profit and Loss	Cumulative Profit and Loss	Cumulative Profit and Loss 
2022-12-04	 0.5	 -248.99	-0.0468 
2022-12-03	 0	 -249.51	-0.0469 
2022-12-02	 0	 -249.49	-0.0469 
2022-12-01	 -8.58	 -249.51	-0.0469 
2022-11-30	 47.56	 -240.91	-0.0453 
2022-11-29	 13.45	 -288.49	-0.0542 
2022-11-28	 -12.2	 -301.94	-0.0568 
2022-11-27	 -1.5	 -289.74	-0.0545 
2022-11-26	 -3.43	 -288.23	-0.0542 
2022-11-25	 -5.32	 -284.78	-0.0535 
2022-11-24	 0.86	 -279.46	-0.0525 
2022-11-23	 26.96	 -280.33	-0.0527 
2022-11-22	 1.44	 -307.29	-0.0578 
2022-11-21	 0.98	 -308.74	-0.058 
2022-11-20	 -14.49	 -309.72	-0.0582 
2022-11-19	 -0.27	 -295.23	-0.0555 
2022-11-18	 -1.06	 -294.96	-0.0554 
2022-11-17	 1.59	 -293.89	-0.0552 
2022-11-16	 -11.53	 -295.5	-0.0555 
2022-11-15	 -9.87	 -283.95	-0.0534 
2022-11-14	 19.23	 -274.08	-0.0515 
2022-11-13	 -27.38	 -293.31	-0.0551 
2022-11-12	 -13.92	 -265.92	-0.05 
2022-11-11	 9.03	 -252	-0.0474 
2022-11-10	 -53.79	 -261.03	-0.0491 
2022-11-09	 -93.4	 -207.23	-0.039 
2022-11-08	 -6.9	 -113.83	-0.0214 
2022-11-07	 -17.32	 -106.92	-0.0201 
2022-11-06	 0.51	 -89.59	-0.0168 
2022-11-05	 -0.51	 -90.11	-0.0169 
2022-11-04	 12.93	 -89.59	-0.0168 
2022-11-03	 -0.51	 -102.52	-0.0193 
2022-11-02	 1.73	 -101.99	-0.0192 
2022-11-01	 -0.44	 -103.74	-0.0195 
2022-10-31	 -15.9	 -103.29	-0.0194 
2022-10-30	 -10.08	 -87.39	-0.0164 
2022-10-29	 11.28	 -77.31	-0.0145 
2022-10-28	 15.88	 -88.59	-0.0167 
2022-10-27	 -24.94	 -104.47	-0.0196 
2022-10-26	 4.57	 -79.53	-0.015 
2022-10-25	 23.9	 -84.12	-0.0158 
2022-10-24	 -13.42	 -108.01	-0.0203 
2022-10-23	 20.47	 -94.6	-0.0178 
2022-10-22	 1.84	 -115.07	-0.0216 
2022-10-21	 15.48	 -116.92	-0.022 
2022-10-20	 -8.63	 -132.41	-0.0249 
2022-10-19	 -11.25	 -123.77	-0.0233 
2022-10-18	 -11.37	 -112.51	-0.0212 
2022-10-17	 15.29	 -101.13	-0.019 
2022-10-16	 -0.75	 -116.44	-0.0219 
2022-10-15	 -0.51	 -115.69	-0.0217 
2022-10-14	 19.61	 -115.16	-0.0216 
2022-10-13	 22.01	 -134.77	-0.0253 
2022-10-12	 0.51	 -156.8	-0.0295 
2022-10-11	 0	 -157.31	-0.0296 
2022-10-10	 -1.03	 -157.31	-0.0296 
2022-10-09	 0.51	 -156.28	-0.0294 
2022-10-08	 -0.51	 -156.8	-0.0295 
2022-10-07	 0	 -156.28	-0.0294 
2022-10-06	 -0.51	 -156.27	-0.0294 
2022-10-05	 -0.51	 -155.75	-0.0293 
2022-10-04	 1.03	 -155.22	-0.0292 
2022-10-03	 0	 -156.27	-0.0294 
2022-10-02	 0.5	 -156.28	-0.0294 
2022-10-01	 -0.51	 -156.8	-0.0295 
2022-09-30	 -18.21	 -156.28	-0.0294 
2022-09-29	 22.04	 -138.06	-0.026 
2022-09-28	 -0.92	 -160.12	-0.0301 
2022-09-27	 35.79	 -159.2	-0.0299 
2022-09-26	 6.41	 -194.98	-0.0367 
2022-09-25	 0.5	 -201.41	-0.0379 
2022-09-24	 0.5	 -201.91	-0.038 
2022-09-23	 0	 -202.43	-0.0381 
2022-09-22	 -1	 -202.43	-0.0381 
2022-09-21	 -24.82	 -201.41	-0.0379 
2022-09-20	 0	 -176.58	-0.0332 
2022-09-19	 0.51	 -176.58	-0.0332 
2022-09-18	 -0.51	 -177.09	-0.0333 
2022-09-17	 1.03	 -176.56	-0.0332 
2022-09-16	 0	 -177.59	-0.0334 
2022-09-15	 -1.03	 -177.59	-0.0334 
2022-09-14	 1.01	 -176.56	-0.0332 
2022-09-13	 -1.06	 -177.59	-0.0334 
2022-09-12	 0.06	 -176.53	-0.0332 
2022-09-11	 6.51	 -176.59	-0.0332 
2022-09-10	 15.33	 -183.1	-0.0344 
2022-09-09	 88.98	 -198.45	-0.0373 
2022-09-08	 0	 -287.43	-0.054 
2022-09-07	 0	 -287.43	-0.054 
2022-09-06	 -0.02	 -287.43	-0.054 
2022-09-05	 -0.5	 -287.41	-0.054 
2022-09-04	 0.5	 -286.92	-0.0539 
2022-09-03	 -0.5	 -287.41	-0.054 
2022-09-02	 1	 -286.92	-0.0539 
2022-09-01	 0	 -287.91	-0.0541 
2022-08-31	 -0.48	 -287.91	-0.0541 
2022-08-30	 0	 -287.41	-0.054 
2022-08-29	 0.51	 -287.41	-0.054 
2022-08-28	 0	 -287.93	-0.0541 
2022-08-27	 -0.5	 -287.91	-0.0541 
2022-08-26	 -30.37	 -287.41	-0.054 
2022-08-25	 0	 -257.04	-0.0483 
2022-08-24	 0	 -257.04	-0.0483 
2022-08-23	 1.01	 -257.04	-0.0483 
2022-08-22	 -1.01	 -258.06	-0.0485 
2022-08-21	 0	 -257.04	-0.0483 
2022-08-20	 0	 -257.04	-0.0483 
2022-08-19	 -0.03	 -257.04	-0.0483 
2022-08-18	 0	 -257.01	-0.0483 
2022-08-17	 8.25	 -257.01	-0.0483 
2022-08-16	 -10.16	 -265.26	-0.0499 
2022-08-15	 -8.85	 -255.11	-0.048 
2022-08-14	 -7.16	 -246.25	-0.0463 
2022-08-13	 1.19	 -239.09	-0.0449 
2022-08-12	 19.59	 -240.29	-0.0452 
2022-08-11	 0.8	 -259.88	-0.0489 
2022-08-10	 16.44	 -260.69	-0.049 
2022-08-09	 0	 -277.15	-0.0521 
2022-08-08	 0	 -277.13	-0.0521 
2022-08-07	 0.5	 -277.15	-0.0521 
2022-08-06	 0	 -277.65	-0.0522 
2022-08-05	 0	 -277.65	-0.0522 
2022-08-04	 -11.93	 -277.66	-0.0522 
2022-08-03	 -5.73	 -265.71	-0.0499 
2022-08-02	 -3.1	 -259.97	-0.0489 
2022-08-01	 -0.5	 -256.87	-0.0483 
2022-07-31	 -15.21	 -256.35	-0.0482 
2022-07-30	 0.31	 -241.14	-0.0453 
2022-07-29	 -2.25	 -241.46	-0.0454 
2022-07-28	 39.97	 -239.21	-0.045 
2022-07-27	 49.39	 -279.19	-0.0525 
2022-07-26	 -0.5	 -328.58	-0.0618 
2022-07-25	 -36.5	 -328.08	-0.0617 
2022-07-24	 0	 -291.58	-0.0548 
2022-07-23	 0	 -291.58	-0.0548 
2022-07-22	 -18.5	 -291.58	-0.0548 
2022-07-21	 -3.56	 -273.08	-0.0513 
2022-07-20	 -28.2	 -269.52	-0.0507 
2022-07-19	 47.52	 -241.3	-0.0454 
2022-07-18	 83.76	 -288.82	-0.0543 
2022-07-17	 -21.87	 -372.59	-0.07 
2022-07-16	 19.47	 -350.7	-0.0659 
2022-07-15	 14.18	 -370.19	-0.0696 
2022-07-14	 17.1	 -384.37	-0.0723 
2022-07-13	 22.62	 -401.48	-0.0755 
2022-07-12	 -33.06	 -424.1	-0.0797 
2022-07-11	 -45.65	 -391.03	-0.0735 
2022-07-10	 -37.58	 -345.37	-0.0649 
2022-07-09	 0.53	 -307.79	-0.0579 
2022-07-08	 -3.26	 -308.32	-0.058 
2022-07-07	 57	 -305.06	-0.0573 
2022-07-06	 18.33	 -362.06	-0.0681 
2022-07-05	 -0.67	 -380.39	-0.0715 
2022-07-04	 45.46	 -379.72	-0.0714 
2022-07-03	 3.88	 -425.18	-0.0799 
2022-07-02	 -0.58	 -429.08	-0.0807 
2022-07-01	 -30.75	 -428.49	-0.0805 
2022-06-30	 -0.7	 -397.74	-0.0748 
2022-06-29	 -0.11	 -397.02	-0.0746 
2022-06-28	 -1.31	 -396.9	-0.0746 
